"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceHealth","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal","mv"
232,"1/15/2023 0:33","pl","KG0902",1,"0",0,"1",21,"1","0",0,NA,NA,"b","artistic","wealthy","sexy","kind","wealthy","wealthy","sex","pathogen","moral","pathogen","moral","moral",3,5,4,4,2,0,4,5,1,6,6,1,0,0,2,5,5,1,4,4,1,5,10,11,1,7,4,11,9,6,7,1,0,1,1,3,3,2,1,3.71428571428571,1.42857142857143,3.85714285714286,3,6.46251216025778
233,"2/5/2023 15:35","pl","AB12",1,"0",2,"1",26,"1","0",0,NA,NA,"b","artistic","wealthy","kind","kind","sexy","kind","moral","pathogen","moral","moral","sex","sex",1,1,0,6,0,0,0,0,2,6,4,3,4,0,2,4,6,6,4,1,0,1,6,7,6,4,8,6,6,7,7,1,0,3,1,1,3,1,2,3.57142857142857,1.85714285714286,1.71428571428571,2.38095238095238,7.14153130555524
235,"12/28/2022 14:04","pl","AB12",1,"0",3,"0",25,"0","0",0,NA,NA,"b","healthy","artistic","artistic","healthy","artistic","artistic","moral","moral","moral","moral","moral","sex",4,4,3,5,1,5,1,2,5,6,5,4,4,0,4,5,6,6,5,0,6,11,6,11,8,6,9,7,10,7,8,4,2,0,0,0,5,0,1,4.28571428571429,4.71428571428571,2.57142857142857,3.85714285714286,7.35674893527557
236,"1/10/2023 20:34","pl","KG0902",1,"0",2,"1",21,"1","0",0,NA,NA,"b","artistic","sexy","kind","kind","sexy","artistic","moral","sex","pathogen","pathogen","pathogen","pathogen",4,1,3,6,1,4,3,0,3,6,6,2,5,1,4,4,6,5,5,1,4,7,6,8,4,6,10,6,6,8,9,2,0,2,2,0,1,4,1,4.71428571428571,3.57142857142857,2.28571428571429,3.52380952380952,8.35645456406832
237,"1/7/2023 21:28","pl","KG0902",1,"0",1,"1",20,"1","0",0,NA,NA,"b","artistic","sexy","sexy","healthy","sexy","sexy","moral","sex","moral","moral","pathogen","sex",3,0,1,6,1,0,0,0,0,6,0,1,1,0,4,0,5,6,3,6,0,7,10,7,10,8,6,9,7,10,8,1,1,0,4,0,3,1,2,2.71428571428571,1.71428571428571,1.71428571428571,2.04761904761905,8.13951368861349
239,"2/6/2023 21:37","en","game",1,"0",1,"1",34,"1","1",2,10,12,"b","wealthy","artistic","healthy","kind","kind","sexy","moral","moral","sex","moral","moral","sex",2,4,5,5,1,0,2,0,1,5,2,5,4,3,4,3,6,6,5,3,6,8,6,10,9,6,6,6,8,6,6,1,1,2,1,1,4,0,2,3.71428571428571,3.85714285714286,2.71428571428571,3.42857142857143,8.37750855248895
243,"12/29/2022 12:53","pl","Ab-12",1,"0",2,"1",22,"1","0",0,NA,NA,"b","artistic","sexy","sexy","kind","wealthy","artistic","sex","sex","moral","pathogen","sex","sex",2,0,3,3,0,2,1,0,2,6,2,2,6,4,4,6,3,0,5,0,0,11,9,11,1,7,6,11,7,3,7,2,0,1,2,1,1,1,4,4.14285714285714,1.85714285714286,1.28571428571429,2.42857142857143,6.09717292081307
244,"2/7/2023 0:11","en","game",1,"0",6,"0",28,"0","0",0,NA,NA,"b","artistic","sexy","sexy","wealthy","sexy","artistic","pathogen","sex","pathogen","moral","moral","moral",5,4,5,6,0,1,3,3,3,5,6,5,6,3,6,6,6,5,5,4,6,1,5,8,6,3,6,6,10,8,6,2,0,0,3,1,3,2,1,5.14285714285714,4.42857142857143,3.71428571428571,4.42857142857143,6.81839266285567
246,"1/15/2023 12:01","pl",NA,1,"0",1,"1",23,"0","0",0,NA,NA,"b","artistic","kind","sexy","kind","sexy","sexy","moral","pathogen","sex","moral","sex","pathogen",4,2,5,4,5,3,3,2,3,4,2,2,3,2,4,2,4,3,4,6,4,7,6,6,5,7,7,8,8,6,7,1,0,2,3,0,2,2,2,3.42857142857143,3.42857142857143,3.28571428571429,3.38095238095238,8.62632397022707
247,"2/23/2023 23:56","en","game",1,"0",1,"1",51,"1","0",0,NA,NA,"b","sexy","kind","kind","kind","wealthy","kind","sex","pathogen","moral","moral","sex","moral",5,6,6,4,5,5,6,5,5,6,5,6,5,4,5,6,5,5,6,5,5,5,6,7,6,6,6,11,11,11,10,0,0,4,1,1,3,1,2,5.42857142857143,5.28571428571429,5,5.23809523809524,8.89437094639986
248,"3/21/2023 14:19","en","game",1,"0",1,"1",35,"1","1",1,10,NA,"b","artistic","wealthy","wealthy","wealthy","wealthy","wealthy","moral","pathogen","pathogen","moral","moral","pathogen",4,2,3,3,2,3,4,5,4,3,5,5,4,5,2,4,5,4,5,3,4,8,8,4,8,8,4,8,8,8,4,1,0,0,0,5,3,3,0,3.85714285714286,3.57142857142857,3.85714285714286,3.76190476190476,8.13343877028089
249,"12/16/2022 20:14","pl",NA,1,"0",1,"1",27,"0","1",1,4,NA,"b","artistic","sexy","artistic","sexy","sexy","sexy","pathogen","moral","sex","moral","moral","sex",0,0,1,5,0,3,1,0,3,5,5,1,1,0,1,1,6,6,3,1,6,7,9,9,8,7,8,10,7,11,9,2,0,0,4,0,3,1,2,2.28571428571429,3,1.71428571428571,2.33333333333333,8.87110353954824
250,"1/9/2023 18:09","pl",NA,1,"0",2,"1",22,"0","0",0,NA,NA,"a","artistic","wealthy","artistic","kind","artistic","artistic","moral","sex","moral","sex","sex","moral",3,1,4,4,0,3,0,0,3,4,0,4,4,0,2,4,2,4,3,0,2,10,6,6,8,8,8,6,7,7,9,4,0,1,0,1,3,0,3,3.14285714285714,3.14285714285714,0.428571428571429,2.23809523809524,8.09695585186752
251,"3/29/2023 16:09","en","game",1,"0",0,"1",35,"1","1",1,10,NA,"b","artistic","healthy","kind","artistic","sexy","artistic","sex","pathogen","moral","moral","moral","pathogen",2,2,3,3,2,4,3,4,3,4,3,3,4,3,2,3,3,4,3,3,2,3,2,3,4,2,3,5,4,3,2,3,1,1,1,0,3,2,1,3.14285714285714,3,2.85714285714286,3,5.6962567501582
252,"12/17/2022 14:11","pl",NA,1,"0",1,"1",23,"1","0",0,NA,NA,"b","artistic","wealthy","kind","wealthy","sexy","healthy","moral","sex","moral","sex","moral","sex",5,0,4,5,0,2,5,0,2,6,1,0,3,0,1,4,5,2,5,0,5,6,8,6,7,6,6,10,6,6,9,1,1,1,1,2,3,0,3,4.71428571428571,2.28571428571429,0.857142857142857,2.61904761904762,9.12106858858744
253,"1/24/2023 1:21","pl","INSTAGRAM STUDY",1,"0",5,"0",21,"1","0",0,NA,NA,"b","kind","wealthy","artistic","healthy","sexy","artistic","pathogen","sex","pathogen","moral","moral","moral",0,5,5,3,2,1,3,1,4,3,4,5,1,0,3,3,4,2,3,5,1,11,7,8,8,7,8,8,6,7,7,2,1,1,1,1,3,2,1,2.28571428571429,3,3,2.76190476190476,7.93944286950782
258,"2/12/2023 11:34","pl",NA,1,"0",1,"1",22,"1","0",0,NA,NA,"b","sexy","wealthy","sexy","healthy","artistic","kind","moral","sex","moral","moral","moral","moral",1,0,1,2,0,0,1,0,1,2,1,1,2,0,0,0,2,3,2,0,1,6,9,10,7,6,6,8,9,8,7,1,1,1,2,1,5,0,1,1.42857142857143,1,0.428571428571429,0.952380952380952,8.55594020694233
261,"1/8/2023 12:25","pl","KG0902",1,"0",2,"1",31,"0","0",0,NA,NA,"b","artistic","sexy","sexy","healthy","wealthy","artistic","moral","sex","sex","pathogen","pathogen","pathogen",3,5,5,6,3,3,1,0,1,5,0,3,6,1,2,6,5,1,3,0,0,8,5,8,6,5,6,9,6,7,7,2,1,0,2,1,1,3,2,4.28571428571429,2.14285714285714,2,2.80952380952381,8.45060893601574
264,"3/29/2023 17:14","en","game",1,"0",1,"1",50,"1","1",2,22,27,"b","kind","healthy","wealthy","healthy","artistic","healthy","pathogen","sex","moral","sex","moral","sex",2,2,3,2,5,3,3,3,2,4,4,2,0,2,4,3,3,3,4,3,1,6,8,9,8,7,4,9,8,8,7,1,3,1,0,1,2,1,3,2.57142857142857,2.57142857142857,3.14285714285714,2.76190476190476,9.14500819184894
266,"3/29/2023 16:07","en","game",1,"0",2,"1",26,"1","0",0,NA,NA,"b","sexy","wealthy","sexy","healthy","wealthy","kind","moral","sex","moral","moral","sex","sex",0,2,3,0,1,0,0,0,1,0,5,3,0,1,3,0,3,4,0,3,6,4,6,8,7,10,6,6,9,7,7,0,1,1,2,2,3,0,3,0,2.85714285714286,2.14285714285714,1.66666666666667,8.07450502255966
270,"12/29/2022 8:17","pl","AB12",1,"0",0,"1",24,"1","0",0,NA,NA,"a","sexy","wealthy","healthy","wealthy","sexy","kind","moral","moral","sex","moral","sex","sex",5,4,4,6,0,3,2,0,5,5,3,5,4,2,4,1,6,6,4,5,4,5,4,9,8,6,3,9,9,8,7,0,1,1,2,2,3,0,3,3.85714285714286,4.42857142857143,2.85714285714286,3.71428571428571,8.24624258232339
271,"1/11/2023 1:10","pl",NA,1,"0",1,"1",23,"0","0",0,NA,NA,"a","sexy","wealthy","sexy","kind","wealthy","artistic","moral","moral","moral","moral","sex","sex",5,5,6,6,0,6,1,0,4,4,6,2,3,3,5,6,6,5,5,5,5,9,6,7,7,4,7,6,8,7,8,1,0,1,2,2,4,0,2,4.28571428571429,4.71428571428571,3.57142857142857,4.19047619047619,8.23706205572638
274,"12/19/2022 13:28","pl",NA,1,"0",1,"1",35,"1","1",1,2,NA,"b","artistic","wealthy","sexy","artistic","artistic","artistic","moral","sex","pathogen","moral","sex","sex",5,0,3,6,0,2,5,0,2,6,0,2,3,0,2,3,5,4,6,0,1,7,8,9,7,7,6,9,9,7,7,4,0,0,1,1,2,1,3,4.85714285714286,2.28571428571429,0.714285714285714,2.61904761904762,9.17954320236512
276,"2/19/2023 19:24","pl",NA,1,"0",6,"0",34,"1","0",0,NA,NA,"a","healthy","artistic","sexy","artistic","kind","sexy","moral","moral","moral","moral","sex","sex",4,4,2,6,3,2,1,3,1,6,3,5,6,2,4,1,2,1,5,6,2,5,7,11,8,7,6,7,8,8,7,2,1,1,2,0,4,0,2,4.14285714285714,2.42857142857143,3.28571428571429,3.28571428571429,8.27468458011728
277,"2/7/2023 0:31","en","game",1,"0",5,"0",20,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","artistic","kind","artistic","moral","pathogen","sex","pathogen","sex","pathogen",0,1,3,1,0,1,0,2,2,3,3,4,1,0,4,5,5,3,1,5,4,7,6,9,5,4,7,6,10,7,6,3,0,1,0,2,1,3,2,1.57142857142857,3,2.28571428571429,2.28571428571429,8.17076372996049
280,"12/16/2022 17:04","pl",NA,1,"0",2,"1",26,"1","0",0,NA,NA,"b","sexy","wealthy","artistic","healthy","artistic","kind","moral","pathogen","sex","moral","moral","sex",3,0,3,3,0,1,1,0,0,3,3,0,4,3,1,3,5,2,3,0,1,7,9,6,6,7,6,8,7,6,7,2,1,1,1,1,3,1,2,2.85714285714286,1.14285714285714,1.57142857142857,1.85714285714286,8.75203121579703
284,"2/5/2023 21:43","pl","AB12 ",1,"0",0,"1",30,"0","0",0,NA,NA,"b","kind","sexy","artistic","kind","healthy","kind","moral","sex","moral","moral","moral","moral",2,3,5,4,1,5,5,3,3,5,4,5,5,3,2,1,2,5,4,4,6,3,8,6,7,10,4,9,7,8,9,1,1,3,1,0,5,0,1,3.71428571428571,4.42857142857143,2.85714285714286,3.66666666666667,7.72430016607115
285,"3/11/2023 1:14","en","game",1,"0",5,"0",25,"1","1",2,1,2,"a","artistic","wealthy","kind","artistic","kind","wealthy","pathogen","moral","pathogen","sex","pathogen","sex",4,2,3,3,4,4,3,2,3,3,4,3,4,4,3,2,3,4,3,2,3,8,6,4,7,8,6,5,7,5,10,2,0,2,0,2,1,3,2,3.14285714285714,3.28571428571429,3,3.14285714285714,8.11633289361237
293,"12/28/2022 12:03","pl","AB12",1,"0",0,"1",23,"0","0",0,NA,NA,"b","artistic","sexy","healthy","healthy","sexy","artistic","moral","sex","moral","moral","moral","sex",4,1,2,5,0,3,0,0,2,5,4,3,1,0,1,0,6,5,5,2,1,7,8,8,9,8,6,9,9,10,10,2,2,0,2,0,4,0,2,2.85714285714286,2.42857142857143,1.85714285714286,2.38095238095238,8.94164773137666
295,"3/29/2023 16:06","en","game",1,"0",5,"0",25,"1","0",0,NA,NA,"b","sexy","healthy","sexy","sexy","sexy","wealthy","sex","sex","sex","sex","moral","pathogen",3,2,3,4,3,2,3,4,3,2,4,4,3,2,3,4,5,3,2,3,4,7,7,6,6,7,6,7,5,7,7,0,1,0,4,1,1,1,4,3,3.14285714285714,3.28571428571429,3.14285714285714,9.05753318551371
296,"1/31/2023 13:19","pl","KG0902",1,"0",4,"0",22,"1","0",0,NA,NA,"b","artistic","artistic","sexy","kind","sexy","artistic","moral","moral","sex","moral","sex","sex",2,5,6,5,0,2,4,0,3,5,1,3,3,0,5,3,1,2,4,0,3,6,5,7,5,4,7,7,7,7,7,3,0,1,2,0,3,0,3,3.71428571428571,3.42857142857143,1,2.71428571428571,8.09905008674132
303,"12/28/2022 17:16","pl","AB12",1,"0",0,"1",23,"1","0",0,NA,NA,"a","healthy","sexy","kind","healthy","sexy","kind","moral","moral","pathogen","sex","sex","sex",1,5,6,6,6,0,1,3,6,6,0,5,4,0,4,1,6,5,5,6,6,6,10,8,10,7,6,8,11,10,10,0,2,2,2,0,2,1,3,3.42857142857143,4.57142857142857,3.71428571428571,3.9047619047619,8.22828403827575
305,"1/30/2023 12:16","pl",NA,1,"0",3,"0",22,"1","0",0,NA,NA,"b","artistic","artistic","artistic","kind","kind","kind","moral","pathogen","sex","moral","pathogen","moral",1,3,4,5,0,0,1,3,2,5,3,2,1,0,0,5,6,0,1,0,3,7,3,9,6,6,3,6,7,6,6,3,0,3,0,0,3,2,1,2.71428571428571,1.57142857142857,2.14285714285714,2.14285714285714,7.89634826678774
306,"2/6/2023 22:40","en",NA,1,"0",3,"0",25,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","wealthy","artistic","kind","moral","sex","pathogen","pathogen","pathogen","pathogen",1,5,4,5,2,1,1,2,1,5,4,2,3,1,2,3,5,5,4,0,5,7,6,7,8,7,7,7,11,11,9,3,0,1,0,2,1,4,1,3.14285714285714,2.85714285714286,2.71428571428571,2.9047619047619,9.30607269759715
311,"1/4/2023 10:02","pl","KG0902",1,"0",0,"1",40,"1","1",1,10,NA,"b","sexy","sexy","artistic","sexy","artistic","kind","sex","sex","moral","sex","sex","sex",1,1,5,6,0,2,4,1,2,6,2,5,5,1,2,2,1,4,4,1,1,2,5,9,4,6,4,4,8,6,8,2,0,1,3,0,1,0,5,4,3,1,2.66666666666667,7.22201970597018
313,"3/29/2023 17:57","en","game",1,"0",0,"1",27,"1","1",2,2,3,"a","wealthy","kind","kind","healthy","artistic","wealthy","moral","pathogen","pathogen","sex","pathogen","moral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11,1,1,2,0,2,2,3,1,0,0,0,0,6.02500155105008
314,"3/14/2023 4:11","en","game",1,"0",6,"0",50,"1","1",2,14,17,"b","healthy","artistic","healthy","healthy","kind","wealthy","pathogen","sex","sex","pathogen","moral","moral",2,2,1,1,2,2,3,2,2,3,2,3,3,4,3,2,3,4,3,5,4,2,3,4,3,6,4,6,2,3,4,1,3,1,0,1,2,2,2,2.42857142857143,2.71428571428571,2.85714285714286,2.66666666666667,6.28401034363962
317,"12/20/2022 21:32","pl","AB12",1,"0",0,"1",20,"0","0",0,NA,NA,"b","artistic","wealthy","sexy","healthy","wealthy","kind","pathogen","moral","moral","pathogen","sex","moral",4,5,5,6,4,4,3,3,3,6,4,4,5,6,4,6,6,5,5,4,5,6,9,7,7,7,6,9,8,7,7,1,1,1,1,2,3,2,1,5,4.28571428571429,4.57142857142857,4.61904761904762,9.10009056688323
318,"2/6/2023 23:05","en",NA,1,"0",6,"0",49,"1","1",2,17,21,"b","sexy","artistic","kind","kind","kind","wealthy","moral","sex","pathogen","pathogen","pathogen","pathogen",6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,5,6,11,6,6,6,8,11,11,8,1,0,3,1,1,1,4,1,6,5.71428571428571,5.85714285714286,5.85714285714286,8.10247195826932
323,"1/12/2023 22:49","pl",NA,1,"0",5,"0",21,"1","0",0,NA,NA,"a","sexy","wealthy","kind","kind","sexy","healthy","moral","sex","moral","sex","sex","moral",1,2,2,4,0,1,0,0,1,3,3,1,1,0,3,3,6,4,1,0,0,7,3,7,8,9,7,7,8,9,7,0,1,2,2,1,3,0,3,1.85714285714286,1.71428571428571,1.57142857142857,1.71428571428571,7.83340965630964
325,"1/8/2023 21:04","pl","KG0902",1,"0",1,"1",23,"1","0",0,NA,NA,"b","artistic","wealthy","healthy","healthy","wealthy","sexy","moral","pathogen","moral","sex","pathogen","pathogen",3,1,4,5,0,1,3,0,1,6,1,2,3,1,2,3,1,3,3,1,4,5,6,7,6,7,5,8,7,6,7,1,2,0,1,2,2,3,1,3.71428571428571,2.42857142857143,0.714285714285714,2.28571428571429,8.93670714062697
326,"12/28/2022 8:58","pl","AB12",1,"0",1,"1",26,"1","0",0,NA,NA,"b","kind","sexy","healthy","artistic","wealthy","artistic","moral","pathogen","sex","pathogen","sex","sex",6,3,6,6,0,3,3,0,3,6,5,6,6,0,4,2,6,6,6,0,6,3,7,6,6,6,2,6,10,6,6,2,1,1,1,1,1,2,3,5,4.85714285714286,2,3.95238095238095,8.17110758381122
328,"12/27/2022 23:36","pl","AB12",1,"0",1,"1",23,"1","0",0,NA,NA,"a","healthy","wealthy","sexy","sexy","sexy","healthy","moral","sex","moral","pathogen","sex","sex",3,4,5,5,4,3,4,0,2,6,6,5,4,3,4,5,6,2,5,2,0,6,9,9,6,7,6,9,8,10,9,0,2,0,3,1,2,1,3,4.57142857142857,3,3.57142857142857,3.71428571428571,8.76215152234184
329,"2/6/2023 20:26","en",NA,1,"0",1,"1",42,"1","1",1,8,NA,"a","healthy","kind","healthy","kind","wealthy","artistic","moral","sex","sex","sex","moral","sex",0,1,1,1,1,1,1,1,0,0,2,1,1,0,0,1,0,1,2,1,2,5,8,8,8,7,11,8,8,8,8,1,2,2,0,1,2,0,4,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,9.14697204365185
333,"2/5/2023 19:56","pl","ab12",1,"0",4,"0",26,"1","0",0,NA,NA,"b","artistic","wealthy","wealthy","kind","sexy","artistic","sex","sex","pathogen","moral","sex","moral",0,0,4,6,0,0,1,2,1,6,0,4,0,0,1,2,1,4,4,0,4,8,6,9,10,3,6,8,11,9,8,2,0,1,1,2,2,1,3,2.71428571428571,2.57142857142857,0.428571428571429,1.9047619047619,7.68050272779229
341,"1/12/2023 22:52","pl",NA,1,"0",0,"1",23,"1","0",0,NA,NA,"a","sexy","artistic","sexy","healthy","sexy","artistic","moral","moral","pathogen","moral","moral","pathogen",3,6,4,3,6,6,1,3,2,5,6,5,4,6,5,5,6,6,5,6,5,3,6,6,6,6,6,6,7,6,7,2,1,0,3,0,4,2,0,3.71428571428571,4.71428571428571,5.57142857142857,4.66666666666667,8.099932560401
342,"1/5/2023 14:45","pl","KG0902",1,"0",2,"1",21,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","wealthy","wealthy","artistic","moral","sex","moral","moral","sex","moral",1,2,4,2,3,4,1,0,3,4,3,3,2,0,3,4,5,5,4,3,4,9,8,7,9,6,7,8,8,10,9,3,0,0,0,3,4,0,2,2.57142857142857,3.71428571428571,2.28571428571429,2.85714285714286,8.54163854964278
344,"12/27/2022 23:52","pl","ab12",1,"0",3,"0",39,"1","1",11,8,8,"a","sexy","sexy","artistic","healthy","healthy","healthy","pathogen","sex","sex","moral","moral","pathogen",0,3,5,3,3,3,3,0,3,3,5,4,1,0,2,2,4,6,3,4,6,6,9,8,7,7,6,7,9,10,9,1,3,0,2,0,2,2,2,2.14285714285714,4.14285714285714,2.71428571428571,3,9.10312417021088
345,"12/29/2022 0:33","pl","AB12",1,"0",0,"1",22,"1","0",0,NA,NA,"b","sexy","wealthy","sexy","kind","artistic","artistic","moral","moral","pathogen","pathogen","moral","pathogen",1,4,5,6,6,3,0,6,3,5,5,3,4,6,3,4,2,2,6,6,1,6,5,7,5,7,6,5,8,8,7,2,0,1,2,1,3,3,0,3.71428571428571,2.85714285714286,5,3.85714285714286,8.5377623740975
348,"1/8/2023 20:39","pl","KG0902",1,"0",0,"1",20,"1","0",0,NA,NA,"b","kind","sexy","wealthy","artistic","sexy","artistic","pathogen","sex","moral","moral","sex","moral",0,1,5,3,0,0,0,0,6,5,4,6,5,1,2,2,6,6,1,0,1,6,8,5,8,8,6,8,9,10,11,2,0,1,2,1,3,1,2,2.28571428571429,3.71428571428571,1.71428571428571,2.57142857142857,8.63581891684248
349,"3/29/2023 16:11","en","game",1,"0",5,"0",25,"1","0",0,NA,NA,"a","healthy","healthy","sexy","artistic","healthy","sexy","sex","moral","pathogen","sex","pathogen","sex",4,3,2,3,4,3,3,4,5,4,4,4,3,4,4,3,5,4,3,4,5,5,3,3,3,5,2,4,4,5,3,1,3,0,2,0,1,2,3,3.28571428571429,3.85714285714286,4,3.71428571428571,6.48826697289776
356,"1/8/2023 10:28","pl","KG0902",1,"0",2,"1",26,"1","0",0,NA,NA,"b","artistic","wealthy","sexy","sexy","sexy","sexy","moral","sex","sex","pathogen","sex","sex",0,2,2,0,0,3,0,0,2,5,0,5,0,0,2,1,6,6,1,0,1,4,4,7,6,6,4,6,9,7,6,1,0,0,4,1,1,1,4,1,3,1.14285714285714,1.71428571428571,8.06494749870163
358,"1/29/2023 17:29","pl",NA,1,"0",3,"0",22,"0","0",0,NA,NA,"a","kind","sexy","healthy","wealthy","healthy","artistic","pathogen","pathogen","pathogen","moral","sex","moral",1,1,4,4,0,0,0,0,2,5,6,5,2,0,1,1,5,4,3,0,0,6,7,9,7,6,7,8,8,7,6,1,2,1,1,1,2,3,1,2.28571428571429,2.28571428571429,1.71428571428571,2.0952380952381,9.21159843370192
361,"3/21/2023 13:43","en","game",1,"0",0,"1",29,"1","1",1,5,NA,"b","wealthy","kind","artistic","wealthy","kind","artistic","sex","sex","pathogen","sex","pathogen","moral",5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,6,7,6,7,6,2,0,2,0,2,1,2,3,4.42857142857143,4.57142857142857,4.57142857142857,4.52380952380952,8.70196710414797
363,"3/29/2023 16:19","en","game",1,"0",6,"0",25,"1","1",2,3,5,"a","healthy","healthy","wealthy","wealthy","wealthy","artistic","moral","moral","pathogen","sex","pathogen","moral",3,4,5,4,3,4,3,4,5,4,3,3,4,3,4,3,4,3,4,3,5,4,1,4,7,7,5,6,6,5,3,1,2,0,0,3,3,2,1,3.57142857142857,4.14285714285714,3.42857142857143,3.71428571428571,6.63371873331581
367,"1/23/2023 23:04","pl","INSTAGRAM STUDY",1,"0",0,"1",21,"1","0",0,NA,NA,"b","artistic","kind","healthy","artistic","artistic","artistic","pathogen","pathogen","moral","moral","moral","pathogen",2,4,5,3,0,1,1,2,3,4,6,3,5,6,3,5,6,2,3,0,1,11,6,8,6,6,6,6,9,6,6,4,1,1,0,0,3,3,0,3.28571428571429,2.57142857142857,3.42857142857143,3.0952380952381,7.79323878521228
369,"2/7/2023 18:08","pl","INSTAGRAM STUDY",1,"0",3,"0",19,"0","0",0,NA,NA,"b","artistic","artistic","artistic","kind","sexy","kind","pathogen","moral","pathogen","moral","pathogen","sex",1,4,1,4,4,1,1,2,1,3,3,1,3,3,2,3,2,3,3,4,3,9,8,8,7,6,7,7,8,8,9,3,0,2,1,0,2,3,1,2.57142857142857,1.71428571428571,3.14285714285714,2.47619047619048,8.73982776859587
370,"2/6/2023 22:35","en","game",1,"0",0,"1",43,"1","1",3,10,22,"b","artistic","wealthy","kind","healthy","healthy","kind","pathogen","moral","pathogen","sex","moral","sex",4,2,3,4,1,2,3,1,5,5,4,2,4,4,5,4,4,2,3,2,2,4,8,7,7,7,6,8,8,8,8,1,2,2,0,1,2,2,2,3.85714285714286,3,2.57142857142857,3.14285714285714,8.79267414094168
372,"3/21/2023 13:35","en","game",1,"0",0,"1",29,"0","0",0,NA,NA,"b","wealthy","healthy","sexy","kind","kind","wealthy","sex","moral","pathogen","moral","sex","pathogen",5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,4,6,6,7,5,0,1,2,1,2,2,2,2,4.42857142857143,4.57142857142857,4.57142857142857,4.52380952380952,8.70196710414797
373,"2/24/2023 2:17","en","game",1,"0",0,"1",50,"1","1",1,6,NA,"b","healthy","artistic","kind","kind","healthy","artistic","moral","moral","moral","pathogen","sex","moral",4,3,4,4,4,3,0,0,3,3,3,3,3,4,3,3,3,4,3,3,3,3,10,9,9,9,5,6,9,9,9,2,2,2,0,0,4,1,1,2.85714285714286,3.28571428571429,2.85714285714286,3,7.53894389427477
374,"2/7/2023 0:39","en","game",1,"0",5,"0",34,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","healthy","artistic","artistic","pathogen","sex","pathogen","moral","pathogen","pathogen",3,4,5,5,0,2,4,3,1,5,3,3,6,1,4,5,6,4,4,1,3,7,8,6,8,3,8,8,8,8,7,3,1,0,0,2,1,4,1,4.57142857142857,3.14285714285714,2.57142857142857,3.42857142857143,8.12291081133738
376,"1/10/2023 13:28","pl",NA,1,"0",2,"1",23,"1","0",0,NA,NA,"b","sexy","artistic","healthy","healthy","wealthy","kind","moral","moral","moral","pathogen","moral","moral",2,2,2,3,0,1,0,0,3,2,1,1,3,2,2,1,3,5,3,0,1,4,8,10,8,10,6,9,9,9,9,1,2,1,1,1,5,1,0,2,2.14285714285714,1.14285714285714,1.76190476190476,7.80171009708762
379,"3/29/2023 18:47","en",NA,1,"0",0,"1",47,"1","1",2,13,18,"b","wealthy","artistic","wealthy","artistic","healthy","kind","moral","sex","pathogen","pathogen","pathogen","moral",3,3,2,3,3,4,3,3,2,3,3,2,2,3,2,3,2,3,2,2,3,6,5,6,6,6,6,6,5,6,6,2,1,1,0,2,2,3,1,2.71428571428571,2.57142857142857,2.71428571428571,2.66666666666667,8.62084077264612
384,"2/24/2023 1:44","en",NA,1,"0",2,"1",28,"1","0",0,NA,NA,"b","artistic","artistic","sexy","wealthy","sexy","sexy","pathogen","sex","sex","sex","moral","sex",1,1,6,6,0,2,3,1,3,5,2,5,6,1,4,6,6,6,6,6,6,7,6,7,7,7,6,6,8,7,7,2,0,0,3,1,1,1,4,4.71428571428571,4.57142857142857,2.42857142857143,3.9047619047619,9.35589718650403
386,"2/6/2023 22:57","en","game",1,"0",2,"1",20,"0","0",0,NA,NA,"b","artistic","artistic","wealthy","artistic","healthy","kind","pathogen","pathogen","sex","moral","sex","moral",2,5,6,6,4,5,5,5,3,5,6,3,6,2,4,6,4,5,6,4,5,9,6,7,5,7,7,7,8,6,6,3,1,1,0,1,2,2,2,5.14285714285714,4.42857142857143,4.28571428571429,4.61904761904762,8.35709246641414
