"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal"
612,"1/30/2023 22:22","pl","MISIAK",1,"1",6,"1",30,"1","0",0,NA,NA,"b","artistic","kind","artistic","kind","artistic","artistic","pathogen","moral","pathogen","moral","pathogen","moral",0,3,4,5,0,1,0,0,3,6,3,2,1,0,5,6,6,3,4,0,2,7,9,7,8,9,7,9,10,8,7,4,2,0,0,3,3,0,3.14285714285714,2.85714285714286,1.71428571428571,2.57142857142857
613,"3/29/2023 16:20","en",NA,1,"0",1,"1",24,"0","0",0,NA,NA,"b","kind",NA,"kind","artistic","sexy","artistic","pathogen","sex","pathogen","moral","moral","moral",1,2,6,6,1,4,2,5,5,5,6,4,4,3,5,5,5,3,3,1,5,8,6,9,8,4,9,6,9,8,8,NA,NA,NA,NA,3,2,1,3.71428571428571,4.57142857142857,3.28571428571429,3.85714285714286
614,"3/29/2023 15:58","en",NA,1,"1",2,"0",40,"1","1",2,1,3,"b","artistic","kind","artistic","kind","artistic","wealthy","pathogen","moral","sex","pathogen","pathogen","pathogen",2,1,2,1,2,1,2,1,2,1,2,1,3,2,3,2,3,2,3,2,3,3,4,5,5,6,5,7,1,5,2,3,2,0,1,1,4,1,2,2,1.85714285714286,1.95238095238095
615,"2/6/2023 23:16","en","game",1,"1",0,"0",29,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","sexy","kind","moral","moral","pathogen","moral","pathogen","moral",2,6,5,5,0,2,1,1,1,5,4,3,3,2,3,4,6,5,4,5,5,7,6,7,6,9,6,6,7,6,7,2,2,1,1,4,2,0,3.42857142857143,3.42857142857143,3.42857142857143,3.42857142857143
616,"3/10/2023 23:15","en",NA,1,"0",2,"1",35,"1","1",1,5,NA,"a","kind","kind","kind","kind","artistic","artistic","sex","sex","sex","sex","sex","moral",5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,4,4,5,5,4,5,8,9,8,9,8,8,9,8,9,8,2,4,0,0,1,0,5,4.85714285714286,4.57142857142857,4.57142857142857,4.66666666666667
617,"1/9/2023 18:38","pl",NA,1,"1",2,"0",24,"1","0",0,NA,NA,"a","artistic","sexy","kind","artistic","wealthy","kind","moral","sex","moral","moral","moral","sex",1,1,1,1,1,2,1,1,2,4,0,1,1,1,2,1,0,1,3,1,2,7,6,9,7,5,8,6,7,7,6,2,2,1,1,4,0,2,1.71428571428571,1.57142857142857,0.714285714285714,1.33333333333333
618,"2/23/2023 23:48","en","game",1,"1",3,"0",32,"1","1",1,10,NA,"b","artistic","artistic","artistic","artistic","sexy","kind","pathogen","sex","moral","pathogen","pathogen","pathogen",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,6,6,6,6,6,6,6,6,4,1,1,0,1,4,1,3,3,3,3
619,"1/7/2023 22:03","pl","Kg0902",1,"1",0,"0",27,"1","0",0,NA,NA,"b","artistic","artistic","artistic","artistic","wealthy","sexy","moral","sex","moral","sex","pathogen","moral",1,0,1,1,0,3,1,0,4,5,1,0,2,0,4,2,3,1,3,0,1,2,6,7,5,7,2,7,7,9,8,4,0,1,1,3,1,2,2.14285714285714,2,0.571428571428571,1.57142857142857
620,"2/6/2023 23:11","en","game",1,"1",0,"0",52,"1","1",2,20,22,"b","wealthy","artistic","kind","artistic","artistic","sexy","sex","moral","pathogen","moral","moral","sex",5,1,6,6,0,2,2,0,2,5,1,5,5,1,2,5,1,6,5,0,0,2,5,9,9,9,2,9,9,9,9,3,1,1,1,3,1,2,4.71428571428571,3.28571428571429,0.571428571428571,2.85714285714286
622,"2/13/2023 11:48","pl",NA,1,"1",6,"1",21,"0","0",0,NA,NA,"b","sexy","sexy","artistic","sexy","sexy","artistic","pathogen","pathogen","moral","moral","pathogen","sex",0,3,5,5,0,0,1,1,1,6,2,4,0,4,0,5,6,1,6,0,1,7,7,9,5,4,8,7,8,7,6,2,0,4,0,2,3,1,3.28571428571429,1.71428571428571,2.28571428571429,2.42857142857143
623,"3/29/2023 16:59","en","game",1,"1",0,"0",25,"0","0",0,NA,NA,"a","wealthy","kind","kind","sexy","wealthy","artistic","pathogen","pathogen","moral","sex","sex","sex",4,3,3,4,4,5,5,4,3,3,4,3,3,2,1,2,3,4,3,3,2,5,6,6,8,4,6,7,6,5,6,1,2,1,2,1,2,3,3.42857142857143,3,3.28571428571429,3.23809523809524
624,"12/17/2022 23:33","pl",NA,1,"1",0,"0",26,"1","0",0,NA,NA,"b","artistic",NA,"artistic","artistic","sexy","artistic","moral","pathogen","moral","pathogen","pathogen","sex",5,2,5,6,0,1,4,1,4,6,2,3,4,3,4,3,5,2,4,1,2,6,7,9,7,7,7,7,10,7,5,NA,NA,NA,NA,2,3,1,4.57142857142857,3,2,3.19047619047619
625,"12/29/2022 2:04","pl","AB12",1,"0",0,"1",24,"2","0",0,NA,NA,"b","wealthy","sexy","artistic","artistic","wealthy","kind","moral","sex","moral","moral","moral","moral",1,4,4,5,0,5,1,1,5,4,1,5,4,1,4,0,3,4,1,1,5,5,11,9,10,8,3,11,9,9,10,2,1,1,2,5,0,1,2.28571428571429,4.57142857142857,1.57142857142857,2.80952380952381
626,"12/16/2022 20:12","pl",NA,1,"0",0,"1",28,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","artistic","artistic","moral","pathogen","sex","pathogen","sex","sex",5,3,4,5,0,1,3,1,4,5,2,4,6,1,1,4,2,5,6,1,6,9,9,9,7,7,9,10,10,9,10,5,0,0,1,1,2,3,4.85714285714286,3.57142857142857,1.42857142857143,3.28571428571429
627,"1/5/2023 18:13","pl","KG0902",1,"0",0,"1",36,"1","0",0,NA,NA,"b","sexy","wealthy","sexy","sexy","kind","sexy","sex","sex","sex","sex","sex","sex",3,0,6,6,0,5,0,0,6,6,6,5,6,0,6,6,6,6,6,0,6,2,6,6,11,6,6,6,6,11,6,0,1,4,1,0,0,6,4.71428571428571,5.71428571428571,1.71428571428571,4.04761904761905
628,"2/7/2023 10:44","pl",NA,1,"1",0,"0",27,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","sexy","kind","moral","moral","moral","moral","moral","moral",0,2,3,0,1,5,0,0,5,0,0,3,0,0,5,0,3,4,0,0,5,7,5,6,5,7,7,7,6,7,9,3,1,1,1,6,0,0,0,4.28571428571429,0.857142857142857,1.71428571428571
629,"3/7/2023 19:00","en",NA,1,"1",0,"0",30,"1","1",1,5,NA,"b","sexy","sexy","kind","sexy","artistic","wealthy","moral","sex","moral","sex","pathogen","sex",5,4,5,5,4,4,4,5,6,6,5,5,5,5,6,5,6,6,6,5,5,3,10,9,10,8,7,7,7,6,6,1,1,3,1,2,1,3,5.14285714285714,5.28571428571429,4.85714285714286,5.09523809523809
630,"12/30/2022 19:01","pl","AB12",1,"0",2,"1",24,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","kind","artistic","moral","sex","moral","moral","sex","moral",1,2,4,4,0,0,0,0,3,4,2,6,2,1,4,4,6,5,3,0,2,9,8,10,6,6,8,10,10,7,8,3,2,0,1,4,0,2,2.57142857142857,3.42857142857143,1.57142857142857,2.52380952380952
631,"2/6/2023 21:58","en","game",1,"1",3,"1",32,"1","1",1,2,NA,"b","wealthy","artistic","kind","kind","wealthy","artistic","moral","pathogen","pathogen","sex","moral","sex",3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,2,2,0,2,2,2,2,2.57142857142857,2.42857142857143,2.57142857142857,2.52380952380952
632,"1/23/2023 17:16","en","INSTAGRAM STUDY",1,"0",2,"1",22,"0","0",0,NA,NA,"a","artistic","sexy","artistic","artistic","artistic","kind","moral","sex","moral","moral","moral","pathogen",0,3,5,4,0,4,1,0,3,5,4,5,5,0,4,5,4,5,5,4,5,7,6,7,7,7,8,9,8,8,8,4,1,1,0,4,1,1,3.57142857142857,4.42857142857143,2.14285714285714,3.38095238095238
633,"2/9/2023 13:47","pl","AC3",1,"0",6,"0",18,"1","0",0,NA,NA,"b","artistic","artistic","sexy","artistic","wealthy","artistic","moral","sex","moral","sex","pathogen","moral",4,4,2,5,0,0,1,0,2,6,0,3,5,0,1,3,6,1,4,0,0,8,6,7,7,7,6,6,8,6,5,4,0,1,1,3,1,2,4,1.28571428571429,1.42857142857143,2.23809523809524
634,"1/8/2023 17:01","pl","KG0902",1,"1",6,"1",32,"1","0",0,NA,NA,"b","artistic","wealthy","sexy","sexy","sexy","sexy","sex","moral","moral","moral","pathogen","moral",4,4,6,0,0,2,1,0,3,2,0,1,1,2,3,2,3,4,4,0,5,11,10,9,11,10,10,9,10,11,11,1,0,4,1,4,1,1,2,3.42857142857143,1.28571428571429,2.23809523809524
635,"1/5/2023 14:52","pl","KG0902",1,"0",1,"1",21,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","artistic","artistic","pathogen","moral","pathogen","pathogen","moral","sex",0,2,5,1,4,5,0,0,2,4,5,3,6,4,3,0,3,6,6,0,6,6,6,4,5,7,6,6,7,9,8,4,1,0,1,2,3,1,2.42857142857143,4.28571428571429,2.57142857142857,3.0952380952381
638,"12/17/2022 22:35","pl",NA,1,"1",0,"0",19,"0","0",0,NA,NA,"a","artistic","wealthy","wealthy","artistic","sexy","artistic","moral","pathogen","sex","moral","moral","moral",0,1,1,4,4,4,0,0,1,5,0,1,4,4,5,5,5,4,3,6,5,7,7,9,8,7,7,6,9,9,6,3,0,1,2,4,1,1,3,3,2.85714285714286,2.95238095238095
640,"3/29/2023 16:03","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"b","artistic","wealthy","wealthy","artistic","kind","artistic","pathogen","pathogen","moral","pathogen","sex","pathogen",2,4,3,2,3,2,4,2,4,2,3,1,2,1,2,3,2,3,4,4,3,7,7,7,7,7,7,7,8,7,7,3,1,0,2,1,4,1,2.71428571428571,2.57142857142857,2.71428571428571,2.66666666666667
643,"1/11/2023 2:24","pl","AB12",1,"0",3,"1",29,"1","0",0,NA,NA,"a","sexy","sexy","sexy","artistic","sexy","artistic","moral","moral","moral","pathogen","sex","sex",4,1,5,6,0,0,4,0,5,6,1,6,2,0,3,5,6,1,2,0,6,7,4,8,6,4,7,6,9,6,9,2,0,4,0,3,1,2,4.14285714285714,3.71428571428571,1.14285714285714,3
644,"2/7/2023 3:52","en",NA,1,"0",0,"1",36,"1","0",0,NA,NA,"b","sexy","wealthy","kind","artistic","sexy","sexy","moral","moral","sex","moral","sex","moral",2,2,3,5,3,1,1,3,2,3,5,1,5,6,4,5,6,4,3,5,5,6,10,8,4,6,5,10,9,6,7,1,1,3,1,4,0,2,3.42857142857143,2.85714285714286,4.28571428571429,3.52380952380952
645,"12/31/2022 0:06","pl","AB12",1,"0",5,"0",23,"2","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","sexy","artistic","pathogen","moral","pathogen","moral","pathogen","sex",5,6,6,6,3,4,3,1,3,6,6,6,5,6,4,3,6,6,5,6,6,2,5,10,4,2,5,7,10,8,7,4,0,1,1,2,3,1,4.71428571428571,5,4.85714285714286,4.85714285714286
647,"12/28/2022 20:27","pl","AB12",1,"0",0,"1",25,"1","0",0,NA,NA,"a","sexy","wealthy","artistic","artistic","sexy","kind","sex","sex","moral","moral","sex","sex",2,2,0,5,0,0,4,0,0,4,2,5,6,5,3,3,5,3,5,4,1,7,6,6,6,6,6,6,6,6,6,2,1,2,1,2,0,4,4.14285714285714,1.71428571428571,2.57142857142857,2.80952380952381
648,"12/28/2022 10:23","pl","AB12",1,"0",2,"1",22,"1","0",0,NA,NA,"a","sexy","kind","sexy","kind","wealthy","sexy","moral","sex","moral","moral","pathogen","sex",4,1,4,4,1,4,3,0,5,6,0,6,5,2,3,3,5,6,4,2,4,9,7,8,9,6,7,8,8,8,7,0,2,3,1,3,1,2,4.14285714285714,4.57142857142857,1.57142857142857,3.42857142857143
650,"12/28/2022 14:20","pl","AB12",1,"0",5,"0",22,"0","0",0,NA,NA,"b","artistic","kind","sexy","kind","sexy","artistic","moral","sex","pathogen","pathogen","sex","pathogen",5,1,4,6,0,2,6,0,2,6,0,2,6,1,5,3,2,1,5,2,4,10,8,8,7,8,9,8,8,8,8,2,2,2,0,1,3,2,5.28571428571429,2.85714285714286,0.857142857142857,3
651,"1/9/2023 18:43","pl",NA,1,"1",3,"0",21,"1","0",0,NA,NA,"a","artistic","sexy","artistic","sexy","sexy","artistic","moral","sex","sex","moral","sex","sex",4,0,5,5,0,2,0,0,3,5,0,4,5,1,2,2,0,5,4,0,2,8,6,9,7,6,7,6,6,7,6,3,0,3,0,2,0,4,3.57142857142857,3.28571428571429,0.142857142857143,2.33333333333333
653,"3/29/2023 16:34","en","game",1,"0",0,"1",25,"1","1",2,2,4,"a","kind","artistic","kind","kind","sexy","sexy","sex","sex","pathogen","moral","sex","pathogen",2,6,5,6,1,3,4,1,5,3,4,3,2,5,3,4,5,3,4,6,3,11,10,11,9,8,10,9,9,10,9,1,3,2,0,1,2,3,3.57142857142857,3.57142857142857,4,3.71428571428571
654,"1/6/2023 14:31","pl","KG0902",1,"0",2,"1",21,"0","0",0,NA,NA,"a","sexy","artistic","artistic","artistic","artistic","kind","moral","pathogen","sex","sex","sex","sex",3,1,2,5,0,4,3,1,5,6,6,5,3,0,5,3,6,0,6,4,3,8,10,10,9,7,8,9,10,8,7,4,1,1,0,1,1,4,4.14285714285714,3.42857142857143,2.57142857142857,3.38095238095238
656,"2/13/2023 16:13","pl",NA,1,"1",6,"1",19,"0","0",0,NA,NA,"b","wealthy","sexy","kind","kind","sexy","artistic","moral","sex","moral","moral","sex","moral",2,3,4,2,0,5,0,0,3,4,3,4,3,1,4,5,1,2,3,0,5,10,5,8,10,10,8,8,10,10,7,1,2,2,1,4,0,2,2.71428571428571,3.85714285714286,1.14285714285714,2.57142857142857
658,"2/9/2023 16:15","pl","AB13",1,"1",5,"1",20,"0","0",0,NA,NA,"a","kind","kind","wealthy","sexy","wealthy","artistic","moral","moral","moral","moral","sex","sex",1,3,3,4,1,4,1,1,4,4,2,3,2,2,4,2,4,5,5,1,3,6,9,7,7,6,7,8,8,8,8,1,2,1,2,4,0,2,2.71428571428571,3.71428571428571,2,2.80952380952381
659,"1/5/2023 19:36","pl","KG0902",1,"0",1,"1",22,"0","0",0,NA,NA,"b","kind","wealthy","artistic","kind","wealthy","artistic","moral","moral","pathogen","moral","sex","pathogen",2,4,5,2,3,3,0,1,4,4,3,1,1,0,1,4,3,4,1,2,2,7,5,8,7,6,6,8,8,8,11,2,2,0,2,3,2,1,2,2.85714285714286,2.28571428571429,2.38095238095238
660,"3/29/2023 16:09","en","game",1,"0",0,"1",35,"1","1",1,10,NA,"b","artistic","wealthy","artistic","kind","wealthy","wealthy","moral","moral","moral","moral","moral","moral",2,3,2,3,2,3,2,3,4,3,4,1,2,3,2,3,4,3,3,3,2,7,7,8,7,7,9,7,7,7,7,2,1,0,3,6,0,0,2.57142857142857,2.42857142857143,3.14285714285714,2.71428571428571
662,"1/9/2023 21:07","pl",NA,1,"0",0,"1",22,"0","0",0,NA,NA,"a","artistic","sexy","artistic","artistic","sexy","artistic","moral","moral","sex","moral","moral","sex",4,1,4,5,0,2,0,0,1,4,3,2,2,3,4,4,3,1,4,0,0,7,9,7,8,6,6,8,7,7,7,4,0,2,0,4,0,2,3.28571428571429,2,1.42857142857143,2.23809523809524
663,"12/16/2022 22:24","pl",NA,1,"0",0,"1",30,"1","0",0,NA,NA,"a","artistic","wealthy","sexy","artistic","artistic","artistic","moral","moral","sex","moral","moral","sex",6,0,6,6,6,6,0,0,4,6,6,6,3,6,6,0,6,6,0,3,6,9,6,10,2,8,9,11,11,9,11,4,0,1,1,4,0,2,3,5.71428571428571,3.85714285714286,4.19047619047619
664,"3/29/2023 16:04","en","GAME",1,"0",2,"1",35,"1","1",2,2,5,"a","artistic","sexy","sexy","sexy","sexy","artistic","moral","moral","pathogen","pathogen","sex","moral",2,3,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,4,3,4,5,3,2,6,7,4,4,5,5,5,2,0,4,0,3,2,1,2.57142857142857,2.85714285714286,2.71428571428571,2.71428571428571
668,"1/11/2023 1:11","pl",NA,1,"0",1,"1",23,"0","0",0,NA,NA,"a","sexy","wealthy","sexy","kind","wealthy","artistic","moral","moral","moral","moral","sex","sex",5,5,6,6,0,6,1,0,4,4,6,2,3,3,5,6,6,5,5,5,5,9,6,7,7,4,7,6,8,7,8,1,1,2,2,4,0,2,4.28571428571429,4.71428571428571,3.57142857142857,4.19047619047619
669,"1/8/2023 18:42","pl","KG0902",1,"0",2,"1",23,"0","0",0,NA,NA,"b","artistic","kind","artistic","artistic","wealthy","sexy","sex","moral","sex","moral","sex","moral",4,6,5,5,5,3,1,1,5,4,3,6,2,4,4,4,6,4,3,5,6,4,6,7,7,3,6,8,8,7,8,3,1,1,1,3,0,3,3.28571428571429,4.71428571428571,4.28571428571429,4.09523809523809
670,"12/29/2022 3:59","pl","AB12",1,"1",0,"0",32,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","sexy","artistic","moral","moral","pathogen","pathogen","sex","pathogen",2,1,3,6,0,3,1,0,0,5,0,1,4,0,1,6,0,3,6,2,3,8,8,5,7,10,6,7,6,7,6,4,0,1,1,2,3,1,4.28571428571429,2,0.428571428571429,2.23809523809524
672,"12/17/2022 18:52","pl",NA,1,"0",2,"1",20,"0","0",0,NA,NA,"b","artistic","kind","sexy","kind","artistic","artistic","moral","moral","pathogen","pathogen","moral","sex",1,2,1,2,2,1,0,0,1,2,2,5,5,5,4,4,5,6,5,4,5,9,7,9,4,6,9,7,9,6,6,3,2,1,0,3,2,1,2.71428571428571,3.28571428571429,2.85714285714286,2.95238095238095
673,"3/29/2023 16:03","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"b","kind","artistic","artistic","kind","artistic","artistic","moral","moral","pathogen","moral","moral","pathogen",2,3,4,3,3,2,4,3,3,4,3,3,2,3,3,4,3,3,4,3,3,2,3,2,4,3,2,3,2,3,2,4,2,0,0,4,2,0,3.28571428571429,3,3,3.0952380952381
674,"1/7/2023 14:09","pl","KG0902",1,"0",0,"1",22,"1","0",0,NA,NA,"a","wealthy","wealthy","sexy","sexy","artistic","kind","moral","moral","moral","sex","moral","sex",2,2,4,3,3,2,0,1,4,3,3,5,3,2,5,3,3,6,4,0,2,2,7,11,2,5,5,11,11,10,11,1,1,2,2,4,0,2,2.57142857142857,4,2,2.85714285714286
675,"2/6/2023 22:57","en","game",1,"0",2,"1",21,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","wealthy","artistic","kind","moral","sex","sex","pathogen","moral","moral",1,4,5,6,0,2,3,1,0,6,5,6,6,5,4,6,6,4,6,0,3,3,2,9,5,8,6,7,10,5,7,2,1,0,3,3,1,2,4.85714285714286,3.42857142857143,3,3.76190476190476
676,"12/16/2022 17:02","pl",NA,1,"0",0,"1",28,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","artistic","artistic","artistic","pathogen","moral","moral","sex","sex","sex",2,4,4,2,3,3,2,0,1,4,2,6,1,3,2,2,5,6,4,3,2,7,6,9,5,3,7,8,10,7,10,4,0,0,2,2,1,3,2.42857142857143,3.42857142857143,2.85714285714286,2.9047619047619
677,"1/7/2023 15:45","pl","KG0902",1,"0",0,"1",21,"0","0",0,NA,NA,"a","artistic","kind","artistic","artistic","sexy","artistic","moral","pathogen","moral","pathogen","moral","sex",2,3,5,5,3,5,4,3,4,5,4,0,1,3,5,4,5,6,4,4,2,5,5,8,6,6,3,7,8,7,7,4,1,1,0,3,2,1,3.57142857142857,3.85714285714286,3.57142857142857,3.66666666666667
679,"2/7/2023 9:29","pl",NA,1,"0",0,"1",28,"1","0",0,NA,NA,"b","artistic","wealthy","sexy","artistic","sexy","kind","moral","sex","moral","moral","moral","sex",2,2,2,2,0,1,1,0,1,6,3,2,2,6,2,1,3,2,2,6,1,4,6,7,8,8,1,11,9,9,8,2,1,2,1,4,0,2,2.28571428571429,1.57142857142857,2.85714285714286,2.23809523809524
682,"12/16/2022 17:07","en",NA,1,"0",1,"1",25,"1","0",0,NA,NA,"b","artistic",NA,"artistic","artistic","wealthy","artistic","sex","sex","pathogen","moral","moral","sex",0,0,0,5,0,0,0,0,1,6,1,1,3,0,1,4,0,1,4,0,1,11,6,8,9,6,9,6,9,9,6,NA,NA,NA,NA,2,1,3,3.14285714285714,0.714285714285714,0.142857142857143,1.33333333333333
683,"12/17/2022 15:39","pl",NA,1,"0",1,"1",27,"0","0",0,NA,NA,"a","artistic",NA,"kind","artistic","wealthy","artistic","moral","moral","pathogen","moral","sex","moral",0,5,5,0,3,0,0,0,4,2,5,4,0,0,5,0,5,5,0,6,0,9,10,5,10,7,9,10,8,10,7,NA,NA,NA,NA,4,1,1,0.285714285714286,3.28571428571429,3.42857142857143,2.33333333333333
684,"2/6/2023 21:08","en","game",1,"1",1,"0",30,"1","1",2,2,5,"a","kind","kind","kind","artistic","artistic","wealthy","moral","pathogen","sex","sex","moral","pathogen",6,6,5,5,5,6,5,6,6,5,6,6,6,5,5,6,5,5,6,6,5,8,8,8,8,8,8,8,8,8,8,2,3,0,1,2,2,2,5.57142857142857,5.42857142857143,5.57142857142857,5.52380952380952
685,"2/23/2023 23:55","en",NA,1,"1",5,"1",32,"0","0",0,NA,NA,"a","sexy","sexy","kind","wealthy","sexy","artistic","moral","sex","sex","pathogen","pathogen","sex",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,6,7,8,7,7,6,5,6,7,7,1,1,3,1,1,2,3,4.57142857142857,4.42857142857143,4.57142857142857,4.52380952380952
686,"12/16/2022 21:46","en",NA,1,"0",0,"1",27,"0","0",0,NA,NA,"b","wealthy","wealthy","sexy","artistic","sexy","kind","moral","pathogen","sex","pathogen","moral","pathogen",3,6,6,6,6,4,4,6,6,5,6,5,4,6,6,6,6,4,6,6,3,6,6,8,8,6,6,8,8,9,9,1,1,2,2,2,3,1,4.85714285714286,4.85714285714286,6,5.23809523809524
687,"2/6/2023 21:16","en",NA,1,"0",0,"1",37,"1","1",2,13,16,"b","kind","sexy","sexy","wealthy","wealthy","sexy","pathogen","moral","sex","sex","moral","sex",6,2,6,6,0,6,0,0,6,6,6,1,6,6,6,5,3,4,6,5,6,1,6,9,6,6,1,6,6,6,6,0,1,3,2,2,1,3,5,5,3.14285714285714,4.38095238095238
689,"3/29/2023 16:13","en",NA,1,"1",1,"0",33,"0","1",1,12,NA,"b","kind","sexy","wealthy","artistic","artistic","sexy","sex","sex","pathogen","moral","sex","sex",3,1,5,4,0,4,0,0,5,3,0,5,6,2,5,2,0,3,1,1,5,3,7,8,7,5,6,7,6,6,6,2,1,2,1,1,1,4,2.71428571428571,4.57142857142857,0.571428571428571,2.61904761904762
692,"1/30/2023 23:22","pl",NA,1,"0",0,"1",20,"0","0",0,NA,NA,"a","kind","sexy","artistic","artistic","sexy","kind","moral","moral","pathogen","sex","moral","sex",0,6,2,3,5,4,1,3,0,5,6,1,2,6,3,4,5,2,3,6,1,7,10,6,7,5,6,9,7,9,8,2,2,2,0,3,1,2,2.57142857142857,1.85714285714286,5.28571428571429,3.23809523809524
693,"1/9/2023 18:12","pl",NA,1,"0",1,"1",22,"0","0",0,NA,NA,"b","sexy","wealthy","sexy","sexy","sexy","sexy","sex","sex","sex","sex","sex","sex",3,4,2,5,0,6,2,0,5,6,1,5,3,0,3,0,6,6,3,6,5,6,7,8,6,8,6,8,8,8,8,0,0,5,1,0,0,6,3.14285714285714,4.57142857142857,2.42857142857143,3.38095238095238
694,"2/24/2023 0:18","en","""game",1,"0",0,"1",25,"1","0",0,NA,NA,"a","artistic","kind","artistic","wealthy","sexy","artistic","moral","sex","pathogen","moral","sex","moral",1,4,2,3,5,3,4,2,4,3,5,1,2,3,1,3,2,4,3,2,3,4,3,8,6,7,6,6,7,1,6,3,1,1,1,3,1,2,2.71428571428571,2.57142857142857,3.28571428571429,2.85714285714286
695,"3/29/2023 16:45","en","game",1,"1",0,"0",25,"0","0",0,NA,NA,"b","wealthy","artistic","artistic","wealthy","kind","artistic","moral","sex","sex","sex","moral","moral",4,3,3,4,5,4,4,4,4,3,4,1,2,3,3,2,2,3,4,4,3,4,7,6,5,7,4,8,5,9,5,3,1,0,2,3,0,3,3.28571428571429,3,3.57142857142857,3.28571428571429
696,"12/19/2022 0:30","pl",NA,1,"1",0,"0",35,"0","0",0,NA,NA,"a","artistic","wealthy","kind","artistic","artistic","kind","sex","sex","moral","moral","moral","sex",0,0,3,6,0,4,1,0,5,6,0,4,0,0,3,4,2,3,3,0,6,9,9,7,8,6,7,8,9,8,9,3,2,0,1,3,0,3,2.85714285714286,4,0.285714285714286,2.38095238095238
697,"2/14/2023 21:43","pl",NA,1,"1",6,"1",19,"1","0",0,NA,NA,"b","artistic",NA,"artistic","sexy","artistic","sexy","moral","moral","pathogen","moral","sex","moral",1,0,6,5,0,0,0,0,1,3,0,3,3,0,1,6,1,6,1,0,0,6,5,7,5,6,9,7,7,8,6,NA,NA,NA,NA,4,1,1,2.71428571428571,2.42857142857143,0.142857142857143,1.76190476190476
698,"3/21/2023 13:48","en","game",1,"0",0,"1",30,"1","1",2,NA,3,"a","wealthy","artistic","kind","wealthy","artistic","wealthy","moral","pathogen","pathogen","pathogen","sex","pathogen",6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,5,6,6,11,11,11,11,10,11,11,11,6,10,2,1,0,3,1,4,1,5.85714285714286,5.85714285714286,5.71428571428571,5.80952380952381
699,"1/5/2023 16:07","pl","KG0902",1,"0",1,"1",21,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","sexy","sexy","artistic","moral","sex","pathogen","pathogen","moral","moral",4,2,5,6,0,5,2,0,4,6,4,1,5,0,2,5,5,6,5,1,6,3,8,10,8,6,4,8,10,7,9,3,0,2,1,3,2,1,4.71428571428571,4.14285714285714,1.71428571428571,3.52380952380952
700,"2/7/2023 4:42","en","game",1,"1",6,"1",28,"1","0",0,NA,NA,"a","artistic","artistic","artistic","wealthy","kind","wealthy","pathogen","pathogen","moral","moral","pathogen","pathogen",4,5,4,5,5,4,4,4,5,5,6,4,5,4,4,5,5,4,5,4,5,11,11,10,11,10,10,11,10,10,11,3,1,0,2,2,4,0,4.71428571428571,4.28571428571429,4.71428571428571,4.57142857142857
702,"1/9/2023 10:18","pl","KG0902",1,"0",3,"1",19,"0","0",0,NA,NA,"b","artistic","wealthy","sexy","kind","wealthy","artistic","moral","moral","moral","sex","moral","sex",4,4,4,6,1,1,1,0,3,5,2,5,3,1,2,5,6,1,4,0,6,7,9,9,8,8,4,9,9,8,8,2,1,1,2,4,0,2,4,3.14285714285714,2,3.04761904761905
703,"12/16/2022 21:02","pl",NA,1,"1",0,"0",31,"1","1",1,1,NA,"b","artistic","wealthy","kind","kind","kind","kind","moral","moral","pathogen","moral","moral","pathogen",3,4,4,5,0,2,2,1,1,5,1,2,2,1,2,1,2,1,4,0,1,3,9,6,6,8,3,9,6,7,8,1,4,0,1,4,2,0,3.14285714285714,1.85714285714286,1.28571428571429,2.0952380952381
